#           x             T           CH4            O2            N2           CO2           H2O
        0.015       293.019   9.22338e-11      0.229998          0.77   9.11118e-07   7.45922e-07
       0.0151       293.013   6.39611e-11      0.229999          0.77   6.31128e-07   5.16698e-07
       0.0152       293.007   3.56885e-11          0.23          0.77   3.51138e-07   2.87473e-07
       0.0153       293.005   2.30486e-11          0.23          0.77   2.26908e-07   1.85767e-07
       0.0154       293.002   1.04087e-11          0.23          0.77   1.02678e-07   8.40615e-08
       0.0154       293.002   1.04087e-11          0.23          0.77   1.02678e-07   8.40615e-08
       0.0154       293.002   1.04087e-11          0.23          0.77   1.02678e-07   8.40615e-08
       0.0155       293.001   6.68672e-12          0.23          0.77   6.60885e-08    5.4106e-08
       0.0156           293   2.96477e-12          0.23          0.77   2.94989e-08   2.41505e-08
       0.0157           293   1.89962e-12          0.23          0.77   1.89548e-08   1.55181e-08
       0.0158           293   8.34463e-13          0.23          0.77   8.41063e-09   6.88572e-09
      0.01585           293   6.83876e-13          0.23          0.77   6.90262e-09   5.65113e-09
       0.0159           293    5.3329e-13          0.23          0.77   5.39462e-09   4.41653e-09
      0.01595           293   3.82703e-13          0.23          0.77   3.88661e-09   3.18194e-09
        0.016           293   2.32116e-13          0.23          0.77   2.37861e-09   1.94735e-09
      0.01604           293   1.98438e-13          0.23          0.77   2.03613e-09   1.66696e-09
      0.01608           293    1.6476e-13          0.23          0.77   1.69365e-09   1.38658e-09
      0.01614           293   1.14243e-13          0.23          0.77   1.17993e-09      9.66e-10
       0.0162           293   6.37253e-14          0.23          0.77   6.66211e-10   5.45422e-10
      0.01625           293   5.21092e-14          0.23          0.77   5.45831e-10   4.46868e-10
       0.0163           293   4.04931e-14          0.23          0.77   4.25452e-10   3.48314e-10
      0.01635           293    2.8877e-14          0.23          0.77   3.05072e-10   2.49761e-10
       0.0164           293   1.72608e-14          0.23          0.77   1.84693e-10   1.51207e-10
     0.016475           293   1.25182e-14          0.23          0.77    1.3444e-10   1.10065e-10
      0.01655           293   7.77564e-15          0.23          0.77   8.41864e-11   6.89227e-11
     0.016575           293   6.19477e-15          0.23          0.77   6.74353e-11   5.52087e-11
       0.0166           293    4.6139e-15          0.23          0.77   5.06842e-11   4.14947e-11
    0.0166333           293   4.04788e-15          0.23          0.77   4.45324e-11   3.64583e-11
    0.0166667           293   3.48185e-15          0.23          0.77   3.83805e-11   3.14218e-11
    0.0167333           293    2.3498e-15          0.23          0.77   2.60769e-11   2.13489e-11
       0.0168           293   1.21775e-15          0.23          0.77   1.37732e-11    1.1276e-11
      0.01684           293   1.03771e-15          0.23          0.77   1.17601e-11   9.62792e-12
      0.01688           293   8.57673e-16          0.23          0.77   9.74712e-12   7.97988e-12
      0.01694           293   5.87614e-16          0.23          0.77   6.72759e-12   5.50782e-12
        0.017           293   3.17555e-16          0.23          0.77   3.70805e-12   3.03575e-12
       0.0171           293   1.99718e-16          0.23          0.77   2.34883e-12   1.92296e-12
       0.0172           293   8.18803e-17          0.23          0.77   9.89603e-13    8.1018e-13
       0.0172           293   8.18803e-17          0.23          0.77   9.89603e-13   8.10179e-13
       0.0172           293   8.18803e-17          0.23          0.77   9.89603e-13    8.1018e-13
       0.0173           293   5.13866e-17          0.23          0.77   6.25791e-13    5.1233e-13
       0.0174           293   2.08928e-17          0.23          0.77    2.6198e-13    2.1448e-13
     0.017475           293   1.50381e-17          0.23          0.77   1.89554e-13   1.55186e-13
      0.01755           293   9.18336e-18          0.23          0.77   1.17129e-13   9.58922e-14
     0.017575           293   7.23178e-18          0.23          0.77   9.29869e-14   7.61275e-14
       0.0176           293   5.28021e-18          0.23          0.77    6.8845e-14   5.63627e-14
    0.0176333           293   4.62066e-18          0.23          0.77   6.03662e-14   4.94212e-14
    0.0176667           293   3.96111e-18          0.23          0.77   5.18874e-14   4.24797e-14
    0.0177333           293     2.642e-18          0.23          0.77   3.49298e-14   2.85967e-14
       0.0178           293    1.3229e-18          0.23          0.77   1.79721e-14   1.47136e-14
      0.01784           293   1.12409e-18          0.23          0.77   1.53105e-14   1.25346e-14
      0.01788           293   9.25282e-19          0.23          0.77   1.26489e-14   1.03556e-14
      0.01794           293   6.27067e-19          0.23          0.77   8.65655e-15   7.08705e-15
        0.018           293   3.28853e-19          0.23          0.77   4.66415e-15    3.8185e-15
       0.0181           293   2.05007e-19          0.23          0.77   2.93407e-15    2.4021e-15
       0.0182           293   8.11611e-20          0.23          0.77   1.20399e-15   9.85698e-16
       0.0182           293   8.11611e-20          0.23          0.77   1.20399e-15   9.85698e-16
       0.0182           293   8.11611e-20          0.23          0.77   1.20399e-15   9.85698e-16
       0.0183           293   5.05244e-20          0.23          0.77   7.56558e-16   6.19388e-16
       0.0184           293   1.98876e-20          0.23          0.77   3.09126e-16   2.53079e-16
      0.01847           293   1.46315e-20          0.23          0.77   2.28737e-16   1.87265e-16
      0.01854           293   9.37531e-21          0.23          0.77   1.48349e-16   1.21452e-16
      0.01857           293   7.12267e-21          0.23          0.77   1.13897e-16   9.32468e-17
       0.0186           293   4.87004e-21          0.23          0.77   7.94451e-17   6.50411e-17
       0.0187           293   3.05615e-21          0.23          0.77   5.03628e-17   4.12317e-17
       0.0188           293   1.24226e-21          0.23          0.77   2.12806e-17   1.74222e-17
       0.0189           293   7.89958e-22          0.23          0.77   1.36738e-17   1.11946e-17
        0.019           293   3.37653e-22          0.23          0.77   6.06702e-18   4.96701e-18
        0.019           293   3.37653e-22          0.23          0.77   6.06701e-18   4.96701e-18
        0.019           293   3.37653e-22          0.23          0.77   6.06702e-18   4.96701e-18
       0.0191           293   2.14368e-22          0.23          0.77   3.89232e-18   3.18661e-18
       0.0192           293   9.10834e-23          0.23          0.77   1.71762e-18    1.4062e-18
     0.019265           293   7.03668e-23          0.23          0.77   1.33531e-18    1.0932e-18
      0.01933           293   4.96501e-23          0.23          0.77    9.5299e-19   7.80204e-19
     0.019365           293    3.8495e-23          0.23          0.77   7.47127e-19   6.11666e-19
       0.0194           293   2.73399e-23          0.23          0.77   5.41264e-19   4.43128e-19
