#           x             T           CH4            O2            N2           CO2           H2O
       0.0115       2098.95      0.014989    0.00780886      0.759313      0.119806     0.0980839
       0.0116       2104.66      0.011797    0.00993621        0.7609      0.119518     0.0978487
       0.0117       2095.34    0.00923993      0.013682      0.762327       0.11808     0.0966711
       0.0118       2086.01    0.00668283     0.0174277      0.763754      0.116641     0.0954935
       0.0119       2052.54     0.0050443     0.0236786      0.765003      0.113419     0.0928552
        0.012       2019.07    0.00340576     0.0299294      0.766251      0.110196     0.0902169
       0.0121       1964.16    0.00255272     0.0382565      0.767337       0.10549     0.0863635
       0.0122       1909.26    0.00169969     0.0465837      0.768424      0.100783     0.0825101
      0.01225       1876.87    0.00148115      0.051093      0.768892     0.0981661     0.0803678
       0.0123       1844.48    0.00126262     0.0556023      0.769361     0.0955493     0.0782254
      0.01235        1812.1    0.00104409     0.0601116      0.769829     0.0929325     0.0760831
       0.0124       1779.71    0.00082556      0.064621      0.770297     0.0903157     0.0739407
       0.0125       1711.43   0.000606919     0.0736162      0.771095     0.0850512     0.0696306
       0.0126       1643.16   0.000388277     0.0826114      0.771893     0.0797866     0.0653206
       0.0126       1643.16   0.000388277     0.0826114      0.771893     0.0797866     0.0653206
       0.0126       1643.16   0.000388277     0.0826114      0.771893     0.0797866     0.0653206
       0.0127       1574.87   0.000282113      0.091227      0.772561     0.0747403     0.0611892
       0.0128       1506.59   0.000175948     0.0998427       0.77323     0.0696939     0.0570578
       0.0129       1440.18   0.000126181      0.107914      0.773776     0.0649828     0.0532009
        0.013       1373.78   7.64141e-05      0.115986      0.774322     0.0602717     0.0493439
       0.0131        1310.3   5.40225e-05      0.123447      0.774753     0.0559444     0.0458012
       0.0132       1246.82    3.1631e-05      0.130909      0.775185     0.0516171     0.0422585
      0.01325       1216.83   2.68273e-05      0.134325      0.775345     0.0496526     0.0406502
       0.0133       1186.85   2.20236e-05      0.137742      0.775506     0.0476881     0.0390418
      0.01335       1156.87   1.72199e-05      0.141159      0.775667     0.0457235     0.0374335
       0.0134       1126.89   1.24162e-05      0.144576      0.775828      0.043759     0.0358252
       0.0135       1070.91   8.52311e-06      0.150776      0.776045     0.0402326     0.0329381
